state_code,state_name,state
1,alabama,AL
2,alaska,AK
4,arizona,AZ
5,arkansas,AR
6,california,CA
8,colorado,CO
9,connecticut,CT
10,delaware,DE
11,district of columbia,DC
12,florida,FL
13,georgia,GA
15,hawaii,HI
16,idaho,ID
17,illinois,IL
18,indiana,IN
19,iowa,IA
20,kansas,KS
21,kentucky,KY
22,louisiana,LA
23,maine,ME
24,maryland,MD
25,massachusetts,MA
26,michigan,MI
27,minnesota,MN
28,mississippi,MS
29,missouri,MO
30,montana,MT
31,nebraska,NE
32,nevada,NV
33,new hampshire,NH
34,new jersey,NJ
35,new mexico,NM
36,new york,NY
37,north carolina,NC
38,north dakota,ND
39,ohio,OH
40,oklahoma,OK
41,oregon,OR
42,pennsylvania,PA
44,rhode island,RI
45,south carolina,SC
46,south dakota,SD
47,tennessee,TN
48,texas,TX
49,utah,UT
50,vermont,VT
51,virginia,VA
53,washington,WA
54,west virginia,WV
55,wisconsin,WI
56,wyoming,WY
60,american samoa,AS
66,guam,GU
69,northern mariana islands,MP
72,puerto rico,PR
74,u.s. minor outlying islands,UM
78,u.s. virgin islands,VI
